smad2,,smad4,
X,Y,X,Y
0.027669924577141014,151.94805194805195,0.020350783237381265,222.0779220779221
0.16673361003257914,169.4805194805195,0.15875991133723089,232.46753246753246
0.7073979857485013,369.48051948051955,0.3307299802145163,309.0909090909091
0.8587197453176836,370.77922077922085,0.5531009654720991,335.7142857142858
1.1358355275881051,394.80519480519484,0.635694202704512,337.0129870129871
1.3554692729950462,391.5584415584416,1.4001576888174825,279.22077922077926
1.4939974115231844,403.2467532467533,1.8924443254340162,251.2987012987013
1.8510882016036658,400.00000000000006,2.371639814938784,230.51948051948054
2.0303774118207105,406.4935064935065,2.6604781243956497,232.46753246753246
2.153493699885453,400.00000000000006,3.01715237797712,224.6753246753247
2.2918433227711574,409.7402597402598,3.2642775323187694,221.42857142857144
2.4839261540292465,405.8441558441559,3.497359456122343,214.93506493506496
2.826319156216063,392.20779220779224,3.772273545469421,214.93506493506496
2.9641332321744693,396.10389610389615,4.074500528108775,212.987012987013
3.1005786882075537,385.0649350649351,4.4730664524478945,212.33766233766235
3.225063596197616,393.50649350649354,4.844378988708885,214.2857142857143
3.403162702131774,387.0129870129871,5.008910905818122,209.74025974025977
3.514377947367638,400.6493506493507,5.215155978042576,210.38961038961043
3.7888755002157053,396.10389610389615,5.407417324943098,208.44155844155847
3.9266895761741116,400.00000000000006,5.59955966141533,205.1948051948052
4.296038440368337,380.51948051948057,5.916603442376639,214.93506493506496
4.4203448327159665,387.0129870129871,6.233468707695511,222.72727272727275
4.598086907365256,376.62337662337666,6.536350247690454,227.92207792207796
4.667708007914193,386.3636363636364,6.7972806117135995,225.32467532467533
4.983442674164323,381.81818181818187,6.990196515969711,230.51948051948054
5.0922182056202665,368.83116883116884,7.18269588372681,231.1688311688312
5.230091786792817,373.3766233766234,7.361985093943856,237.6623376623377
5.367072789753202,368.18181818181824,7.5412743041609005,244.15584415584416
5.532259264218027,370.77922077922085,7.706282262983294,244.80519480519484
5.779146397703098,364.935064935065,7.912765356064325,248.05194805194807
6.054953065262343,374.6753246753247,8.022730991803156,248.05194805194807
6.301959209175703,370.1298701298702,,
6.494161050862081,367.5324675324676,,
6.809776706683921,361.6883116883117,,
6.974903675934604,363.6363636363637,,
7.222147840704542,361.6883116883117,,
7.385430148316745,343.50649350649354,,
7.632674313086685,341.5584415584416,,
7.824995165201351,340.2597402597403,,
7.989884113595453,339.6103896103897,,
